"","X","Name","Author","Date.Available","Description","Top.Country","Citation","Views","filename","sizeMB","Type","Repository"
"11",11,"eHistology Kaufman Atlas Plate 27b image h","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 27b image h.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 27b image h, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/937.",112,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 431; 393.8; 2.561; 90; 17","image","Edinburgh Datashare"
"12",12,"eHistology Kaufman Atlas Plate 35d image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 35d image d.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 35d image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1135.",127,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 429; 1.325; 2.457; 90; 17","image","Edinburgh Datashare"
"13",13,"eHistology Kaufman Atlas Plate 40i image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 40i image d.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 40i image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1291.",122,"README.txt; citation.txt; details.txt; image.jpg; terms.txt; url.txt; license_text","1.157; 529; 429; 110.8; 2.391; 90; 17","image","Edinburgh Datashare"
"14",14,"Seabirds. Images of pathology (miscellaneous diseases 2).","Data Pennycott, Tom","2016-11-30","This dataset was compiled during wild bird disease surveillance in Scotland between 1994 and 2013, and contains images of miscellaneous conditions encountered in seabirds. A searchable list of images is provided in a Word document, and the images and captions are presented together in two PDF documents. Individual images are included in JPEG format. Images from other avian groups, including those that contributed to the Doctor of Veterinary Medicine & Surgery (DVM&S) thesis ""Diseases of wild birds of the Orders Passeriformes and Columbiformes - a review of conditions reported from the United Kingdom and an analysis of results from wild bird disease surveillance in Scotland 1994-2013"" (Thomas Pennycott) can be found in this Collection at http://datashare.is.ed.ac.uk/handle/10283/2033 .","United States","Pennycott, Tom. (2016). Seabirds. Images of pathology (miscellaneous diseases 2)., 1994-2013 [image]. University of Edinburgh. Royal (Dick) School of Veterinary Studies. https://doi.org/10.7488/ds/1565.",299,"01.ListofimagesinsearchableWorddocument.; 02.Images1014-1034.Seabirds.; 03.Images1035-1066.Seabirds.; 4273.Intestinalcoccidiosis.Guillemot.; 4275.Intestinalcoccidiosis.Guillemot.; 4744.Intestinalcoccidiosis.Guillemot.; 4978.Intestinalcoccidiosis.Guillemot.; D7451cal.Coccidialoocyst.Fromkidneyofrazorbill.; D7452cal.Coccidialoocyst.Fromkidneyofrazorbill.; D7456cal.Coccidialoocyst.Fromkidneyofrazorbill.; D7459cal.Coccidialoocyst.Fromkidneyofrazorbill.; D7465cal.Coccidialoocyst.Fromintestineofrazorbill.; D7467cal.Coccidialoocyst.Fromintestineofrazorbill.; D7468cal.Coccidialoocyst.Fromintestineofrazorbill.; D7472cal.Coccidialoocyst.Fromintestineofrazorbill.; D7592cal.Coccidialstagesinkidneyofrazorbill.Histopathology.H&E.; D7599cal.Coccidialstagesinkidneyofrazorbill.Histopathology.H&E.; D7657cal.Coccidialoocyst.Fromintestineofguillemot.; D7658cal.Coccidialoocyst.Fromintestineofguillemot.; D7675cal.Coccidialoocyst.Fromintestineofguillemot.; D7678cal.Coccidialoocyst.Fromintestineofguillemot.; D7702cal.Coccidialoocyst.Fromkidneyofrazorbill.; D7704cal.Coccidialoocyst.Fromkidneyofrazorbill.; 4021.Tumouronfaceofgull.; 4178.Intestineofgannetimpactedwithsand.; 4206.Subcutaneousmite.Shortlegs.Gannet.; 4955.Fulmar.Palekidneys,urolithiasisandprolapsedcloaca.; 4869.Coccidialoocysts.Fromintestineofguillemot.; 4957.Fulmar.Palekidneys,urolithiasisandprolapsedcloaca.; 6311.Cormorant.Beakdeformity.; 6836.Subcutaneousmites.Shag.; 6840.Subcutaneousmites.Shag.; 6842.Subcutaneousmites.Shag.; 7335.Subcutaneousmite.Relativelylonglegs.Shag.; 7339.Subcutaneousmite.Relativelylonglegs.Shag.; 7518.Gullwithbotulism.Largenumberofleechesinconjunctivalsac.; 7519.Gullwithbotulism.Largenumberofleechesinconjunctivalsac.; 7526.Gullwithbotulism.Largenumberofleecheswashedoutofconjunctivalsac.; 8810.Intestineofgulldistendedwithbrowncontents.Clostridiumperfringensisolated.; 8812.Intestineofgulldistendedwithbrowncontents.Clostridiumperfringensisolated.; D2073.Fishinghookinoesophagusofgull.; D2074.Fishinghookremovedfromoesophagusofgull.; D4509.Subcutaneousmites.Shag.; D4510.Subcutaneousmites.Shag.; D6449.E.colisepticaemiaingull.; D6626.Subcutaneousmite.Relativelylonglegs.Shag.; D6629.Subcutaneousmite.Relativelylonglegs.Shag.; D6632.Subcutaneousmite.Shortlegs.Shag.; D6636.Subcutaneousmite.Shortlegs.Shag.; D6637.Subcutaneousmite.Shortlegs.Shag.; D6643.Subcutaneousmite.Shortlegs.Shag.; D7880.Gizzardofshagimpactedbylargestones.; D8025.Subcutaneousmite.Relativelylonglegs.Shag.; D8026.Subcutaneousmite.Relativelylonglegs.Shag.; license_text","24.17; 1.276; 2.81; 6.418; 4.651; 5.031; 5.215; 450.8; 455.7; 439.6; 558.5; 394.2; 424.2; 352.4; 371.8; 483.2; 463.3; 369; 331.1; 344.6; 310.8; 356.5; 399.5; 48.62; 6.006; 8.464; 5.427; 7.745; 5.483; 4.336; 6.212; 7.158; 7.857; 8.63; 8.409; 62.11; 4.263; 3.651; 4.679; 5.258; 2.646; 3.183; 2.915; 2.763; 2.619; 332.7; 448.7; 446.4; 305.1; 406; 319.7; 2.847; 373.3; 404.4; 17","image","Edinburgh Datashare"
"15",15,"eHistology Kaufman Atlas Plate 19c image f","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 19c image f.","Germany","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 19c image f, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/689.",132,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 443; 33.52; 628; 90; 17","image","Edinburgh Datashare"
"16",16,"Granulation and suspension rheology: a unified treatment","Data Hodgson, Daniel JMHermes, MichielBlanco, ElenaPoon, Wilson CK","2019-07-17","Mixing a small amount of liquid into a powder can give rise to dry-looking granules; increasing the amount of liquid eventually produces a flowing suspension. We perform experiments on these phenomena using Spheriglass, an industrially-realistic model powder. Drawing on recent advances in understanding friction-induced shear thickening and jamming in suspensions, we offer a unified description of granulation and suspension rheology. A ‘liquid incorporation phase diagram’ explains the existence of permanent and transient granules and the increase of granule size with liquid content. Our results point to rheology-based design principles for industrial granulation.","United States","Hodgson, Daniel JM; Hermes, Michiel; Blanco, Elena; Poon, Wilson CK. (2019). Granulation and suspension rheology: a unified treatment, [dataset]. University of Edinburgh. School of Physics and Astronomy. Institute for Condensed Matter and Complex Systems. https://doi.org/10.7488/ds/2588.",183,"MainText,Figure2; MainText,Figure3; MainText,Figure4; SupplementaryInformation,Figure4; license_text","1.933; 638; 900; 10.77; 17","dataset","Edinburgh Datashare"
"17",17,"Glaciers 2012","Data Gruber, Stephan","2017-02-21","Inventory of glaciers giving data on their area, perimeter and shape.  This data has been collected by the World Glacier Monitoring Service and was released as part of a larger permafrost dataset (http://hdl.handle.net/10672/299). The derivation of the dataset is described in this publication <http://www.the-cryosphere.net/6/221/>. The derivation of the dataset is described in this publication <http://www.the-cryosphere.net/6/221/>. In it, issues of uncertainty and heterogeneity are discussed in detail. These are especially important when using such data for validating other models. Updated statistics for global/national permafrost areas as well as plots detailing the nature of permafrost areas in terms of latitude, elevation, heterogeneity and terrain ruggedness are available and include an estimation of uncertainty.  The data are provided ""as is"" and University of Zurich makes no representations or warranties, express or implied. By way of example, but without limitation, University of Zurich makes no representations or warranties of merchantibily or  tness for any particular purpose or that the data will meet your requirements or that the use of the data or documentation will not infringe any third party's patents, copyrights, trademarks or other rights. Furthermore, University of Zurich does not warrant or make any representations regarding use of the data in terms of correctness, accuracy, reliability, or otherwise or that defects in the data will be corrected. University of Zurich will not be liable for any consequential, incidental, or special damages, or any other relief, or for any claim by any third party, arising from the use of the data.  Please attribute the WGMS an University of Zurich as the sources of this data. GIS vector data. This dataset was first accessioned in the EDINA ShareGeo Open repository on 2012-02-22 and migrated to Edinburgh DataShare on 2017-02-21.","United States","Gruber, Stephan. (2017). Glaciers 2012, [Dataset]. University of Zurich. https://doi.org/10.7488/ds/1878.",117,"Glacier.zip; metadata.xml","4.905; 5.316","dataset","Edinburgh Datashare"
"18",18,"2010 Westminster Constituencies","Data Pope, Addy","2017-02-22","2010 UK Constituency boundaries for the 2010 elections. This data is a subset of the boundary data that was released by the OS through their OpenData site in April 2010. Note, this dataset was updated in April 2010 to include the boundaries for the 2010 election and therefore replaces the data released on the 1st April 2010. Derived from OS OpenData Boundary Data. GIS vector data. This dataset was first accessioned in the EDINA ShareGeo Open repository on 2010-09-20 and migrated to Edinburgh DataShare on 2017-02-22.","United States","Pope, Addy. (2017). 2010 Westminster Constituencies, [Dataset]. University of Edinburgh. https://doi.org/10.7488/ds/1911.",363,"westminster_const_region.zip; metadata.xml","21.8; 3.87","dataset","Edinburgh Datashare"
"19",19,"Working with map data in GIS","Data McGarva, GuyCarr, Viv","2017-02-22","Wind Farms - follows on from the 'Dave' Data Download case study. View and symbolise OS raster and height data and Wind Farm location data. GIS vector data. This dataset was first accessioned in the EDINA ShareGeo Open repository on 2014-04-10 and migrated to Edinburgh DataShare on 2017-02-22.","United States","McGarva, Guy; Carr, Viv. (2017). Working with map data in GIS, [Dataset]. EDINA. https://doi.org/10.7488/ds/1954.",171,"Work_map_data_GIS.zip; metadata.xml","86.37; 3.602","dataset","Edinburgh Datashare"
"20",20,"Edinburgh Tall Building Fire Tests","Data Hidalgo, Juan PCowlard, AdamAbecassis-Empis, CeciliaMaluk, CristianMajdalani, Agustin HKahrmann, SteffenHilditch, RyanKrajcovic, MichalTorero, Jose L","2018-12-20","A full-scale experimental series is undertaken to generate a comprehensive data set to study and characterise ﬁres in large open-plan spaces, typical of contemporary infrastructure and Tall Buildings in particular. Developments in the understanding of enclosure ﬁre dynamics for large spaces is intended to complement the knowledge of relatively smaller, low ventilation spaces developed from the extensive body of research that underpins the original compartment ﬁre framework.   

A total of twelve experiments are conducted, ten using box gas burners and two using a bed of wood cribs. Both the ﬁre development and ventilation characteristics are varied systematically to enable the careful examination of the eﬀect of each on the ﬁre dynamics within the compartment. For this set of tests, sensor instrumentation is, as far as practicable, provided at a resolution to enable benchmarking of ﬁeld models. These tests form part of the Real Fires for the Safe Design of Tall Buildings Project.","United States","Hidalgo, Juan P; Cowlard, Adam; Abecassis-Empis, Cecilia; Maluk, Cristian; Majdalani, Agustin H; Kahrmann, Steffen; Hilditch, Ryan; Krajcovic, Michal; Torero, Jose L. (2018). Edinburgh Tall Building Fire Tests, [dataset]. University of Edinburgh. School of Engineering. https://doi.org/10.7488/ds/2477.",265,"ETFT-Event_Logs.xlsx; ETFT-Sensor_Names_and_Coordinates.xlsx; EPSRC_Edinburgh_Tall_Building_Fire_Tests_2013.zip; license_text","43.76; 973; 2.513; 17","dataset","Edinburgh Datashare"
"21",21,"3D mouse embryo model: EMA68, Stage TS19, Age E11.5 (est)","Data Graham, ElizabethMoss, JulieRichardson, LornaBrune, RenskeArmit, ChrisBurton, NickHill, BillDavidson, DuncanBaldock, Richard","2017-09-18","The eMouseAtlas team have generated a series of 3D images to capture mouse embryo development and to use as a spatial framework for gene-expression and other spatially organised data. The resource is published and available on the Web at http://www.emouseatlas.org/emap/ema/.","United States","Graham, Elizabeth; Moss, Julie; Richardson, Lorna; Brune, Renske; Armit, Chris; Burton, Nick; Hill, Bill; Davidson, Duncan; Baldock, Richard. (2017). 3D mouse embryo model: EMA68, Stage TS19, Age E11.5 (est), [3D image data]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/2207.",191,"citation.txt; model_info.txt; README.txt; thumb.jpg; TS19_EMA68_reference.nii; TS19_EMA68_reference.wlz; url.txt; license_text","970; 390; 2.151; 11.86; 57.58; 57.59; 74; 17","image","Edinburgh Datashare"
"22",22,"eHistology Kaufman Atlas Plate 07 image a","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-21","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 07 image a.","Germany","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 07 image a, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/450.",130,"README.txt; citation.txt; details.txt; image.jpg; terms.txt; url.txt; license_text","1.157; 529; 429; 12.4; 1.299; 89; 17","image","Edinburgh Datashare"
"23",23,"eHistology Kaufman Atlas Plate 32d image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 32d image d.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 32d image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1069.",117,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 434; 739.7; 1.741; 90; 17","image","Edinburgh Datashare"
"24",24,"eHistology Kaufman Atlas Plate 37g image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 37g image d.","Germany","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 37g image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1207.",126,"README.txt; citation.txt; details.txt; image.jpg; terms.txt; url.txt; license_text","1.157; 529; 429; 56.83; 1.833; 90; 17","image","Edinburgh Datashare"
"25",25,"eHistology Kaufman Atlas Plate s3d image d","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2016-12-19","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology_supplement/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate s3d image d.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2016). eHistology Kaufman Atlas Plate s3d image d, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1631.",182,"README.txt; citation.txt; details.txt; image_s3dd_full.tif; terms.txt; url.txt; license_text","1.166; 525; 214; 221.3; 1.168; 101; 17","image","Edinburgh Datashare"
"26",26,"NyaryemiAnyangNyikango_songFlag","Data Gwado Ayoker, OttoRemijsen, Bert","2014-06-04","The recording at the center of this item is a Shilluk song. In this song, the composer applauds the Lul Agwöj women’s flag. She also says that the flag was designed; it was not a ready-made flag. Lul women in the village sent a letter and money to daughter of Nyibong, who was in Malakal Town. She is from their village. The women asked her to buy the materials and make a flag. She made a beautiful flag, with the picture of crocodile and rainbow.  The lady in the town kept the flag until the women went to see it. The women of the village did not go to Khartoum, but they sent representatives who took the flag to the women of their village who were in Khartoum. Shilluk people of the same village share all the matters concerning the clan. And women of the same village have one group name wherever they may be. They consider themselves as one entity.","United States","Gwado Ayoker, Otto; Remijsen, Bert. (2014). NyaryemiAnyangNyikango_songFlag, 2014 [sound]. University of Edinburgh. School of Philosophy, Psychology and Language Sciences. Linguistics and English Language. https://doi.org/10.7488/ds/21.",154,"recordedsong; annotationsinPraatTextGrid); metadatare.thesong; scannedpermissionsdocument; questionnairedatare.performer; spreadsheetcompilationofinformationre.performerandperformance; license_text","8.34; 30.66; 13; 681.7; 531.2; 12.58; 20.17","sound","Edinburgh Datashare"
"27",27,"eHistology Kaufman Atlas Plate 03 image n","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-21","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 03 image n.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 03 image n, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/410.",118,"README.txt; citation.txt; details.txt; image.jpg; terms.txt; url.txt; license_text","1.157; 529; 437; 142; 450; 89; 17","image","Edinburgh Datashare"
"28",28,"[SUPERSEDED] Heating and cooling degree days projections for the UK: version 1","Data Holmes, Caroline","2016-11-23","[Dataset has been replaced by a newer version -
 http://datashare.is.ed.ac.uk/handle/10283/2813] 
 This dataset was produced for the study ""What is the uncertainty in degree day projections due to different calibration methodologies?"" (Holmes et al, 2016, Journal of Climate, submitted). Heating and Cooling degree day projections are calculated using various different calibration strategies, on a month-by-month basis and on the 25km grid of the HadRM3-PPE model projections. The software used to produce the NetCDF data was IDL. A list of software for viewing and analysing NetCDF files is available at http://www.unidata.ucar.edu/software/netcdf/software.html . The dataset used the raw data from HadRM3-PPE (http://catalogue.ceda.ac.uk/uuid/f9c7d70b0e6d4c31c067e75ab67cb3cc) and EObs version 12 (http://www.ecad.eu/download/ensembles/download.php).","United States","Holmes, Caroline. (2016). Heating and cooling degree days projections for the UK: version 1, [dataset]. https://doi.org/10.7488/ds/1561.",193,"Variabledescriptions; DatanetCDFformat); license_text","1.444; 8.344; 17","dataset","Edinburgh Datashare"
"29",29,"Nyok Manoon","Data Remijsen, BertImpey, AngelaAjuet Deng, Elizabeth AcholDeng Yak, Simon YakAyuel Ring, Peter MalekPenn de Ngong, JohnReid, TatianaLadd, D. RobertMeyerhoff, Miriam","2012-09-24","The songs in this collection were recorded and annotated as part of the project ‘Metre and Melody in Dinka Speech and Song’, a project carried out by researchers from the University of Edinburgh and the School of Oriental and African Studies in London, and funded by the UK Arts and Humanities Research Council as part of their ‘Beyond Text’ programme. The project aimed to understand the interplay between traditional Dinka musical forms and the Dinka language (which distinguishes words not just by different consonants and vowels but also by means of rhythm, pitch and voice quality), and to learn more about the way the song tradition responded to the disruptions of the long Sudanese civil war. In this context, we aimed to record a large collection of Dinka songs for preservation in a long-term sound archive. This collection is the result of that effort. It presents song material from 36 Dinka singers and groups of singers. Further details can be found in the readme file. The collection is accompanied by an index, which is explained in the readme file.","United States","Remijsen, Bert; Impey, Angela; Ajuet Deng, Elizabeth Achol; Deng Yak, Simon Yak; Ayuel Ring, Peter Malek; Penn de Ngong, John; Reid, Tatiana; Ladd, D. Robert; Meyerhoff, Miriam. (2012). Nyok Manoon, 2009-2012 [sound]. University of Edinburgh. School of Philosophy, Psychology and Language Sciences. https://doi.org/10.7488/ds/92.",140,"ACollectionofDinkaSongs_index.xlsx; ACollectionofDinkaSongs_readme.docx; ACollectionofDinkaSongs_readme.pdf; NyokManoon_4OCT11_part1.wav; NyokManoon_4OCT11_part1_metadata.docx; NyokManoon_4OCT11_part2.wav; NyokManoon_4OCT11_part2_metadata.docx; NyokManoon_permissions.pdf; NyokManoon_questionnaire.docx; license_text","68.96; 46.49; 165.2; 36.24; 13; 34.42; 12.7; 474.2; 11.51; 20.27","sound","Edinburgh Datashare"
"30",30,"ATSR Reprocessing for Climate: Sea Surface Temperature (ARC-SST) v1.1 - Global 1 Degree Monthly Average - Obs4MIPs","Data MacCallum, Stuart NMerchant, Christopher JEmbury, Owen","2014-03-17","This dataset contains observations of Sea Surface Temperature (SST) from the series of (Advanced) Along-Track Scanning Radiometers ((A)ATSRs). SSTs are provided as monthly averages on a 1 degree longitude/latitude global  grid and cover the period from 1st January 1997 to 31st December 2011. Equivalent data for Sea Surface Temperature Anomaly (SSTA), relative to climatology, are also available.
The dataset is derived from the data products of the ATSR Reprocessing for Climate: Sea Surface Temperature (ARC-SST_ project (Merchant et al, 2012). These are daily SST estimates on a 0.1 degree longitude/latitude grid and the methods used to derive the monthly 1 degree dataset are described in the accompanying technical note (tosTechNote_ATSR_L3_ARC-v1.1.1_199701_201112.pdf).
The ARC-SST source data from which this dataset is derived is available at: 
http://badc.nerc.ac.uk/view/neodc.nerc.ac.uk__ATOM__DE_3abf8c96-a7d6-11e0-9cb8-00e081470265  
Reference: Merchant, C. J., O. Embury, N. A. Rayner, D. I. Berry, G. Corlett, K. Lean, K. L. Veal, E. C. Kent, D. Llewellyn-Jones, J. J. Remedios, and R. Saunders (2012), A twenty-year independent record of sea surface temperature for climate from Along Track Scanning Radiometers, J. Geophys. Res., 117, C12013, doi:10.1029/2012JC008400.","United States","MacCallum, Stuart N; Merchant, Christopher J; Embury, Owen. (2014). ATSR Reprocessing for Climate: Sea Surface Temperature (ARC-SST) v1.1 - Global 1 Degree Monthly Average - Obs4MIPs, 1997-2011 [Dataset]. University of Edinburgh. School of GeoSciences. https://doi.org/10.7488/ds/62.",272,"Data; SSTanomalydata; Technicalnote; license_text","133.5; 44.51; 540; 20.17","dataset","Edinburgh Datashare"
"31",31,"eHistology Kaufman Atlas Plate 35k image a","Data Graham, ElizabethMoss, JulieBurton, NickRoochun, YogmateeArmit, ChrisRichardson, LornaBaldock, Richard","2015-12-22","The eMouseAtlas team have re-digitised the original histological sections used for the ""Atlas of Mouse Development"" by Matt Kaufman. The resource is published available on the Web at http://www.emouseatlas.org/emap/eHistology/ and the publication at https://doi.org/10.1242/dev.124917. This is the dataset for Plate 35k image a.","United States","Elizabeth Graham; Julie Moss; Nick Burton; Yogmatee Roochun; Chris Armit; Lorna Richardson; Richard Baldock. (2015). eHistology Kaufman Atlas Plate 35k image a, [image]. University of Edinburgh. College of Medicine and Veterinary Medicine. https://doi.org/10.7488/ds/1160.",123,"README.txt; citation.txt; details.txt; image.tif; terms.txt; url.txt; license_text","1.157; 529; 429; 1.387; 4.765; 90; 17","image","Edinburgh Datashare"
