"","X","Name","Description","Subject","Keyword","Deposit.Date","Author","Depositor","Citation","FileName","Downloads","Variables","Observations","Repository"
"122",122,"Replication Data for: Which Narrative Strategies Durably Reduce Prejudice? Evidence From Field and Survey Experiments Supporting the Efficacy of Perspective-Getting","Exclusionary attitudes towards outgroups contribute to social and political challenges worldwide. Previous field experiments found that interpersonal conversations employing multiple narrative strategies can durably reduce exclusionary attitudes. We theoretically distinguish between three of these narrative strategies: narratives which promote analogic perspective-taking, vicarious perspective-giving, and perspective-getting. Previous research has assigned these strategies together in a compound treatment, leaving open important theoretical and practical questions about each's effectiveness. We present results from three field studies and a survey experiment that individually manipulate their presence. Across the field studies, we find omitting prompts to engage in analogic perspective-taking and vicarious perspective-giving does not diminish effects; conversations employing only perspective-getting narratives durably reduce exclusionary attitudes. Results from within-subject analyses and a survey experiment similarly show that perspective-getting consistently reduces exclusionary attitudes and activates multiple mechanisms. These results refine theoretical understandings of prejudice reduction and support facilitating perspective-getting in conversations intended to reduce exclusionary attitudes.","Social Sciences","Prejudice reduction, Field experiments, Political science",NA,"Kalla, Joshua (Yale University) - ORCID: 0000-0003-3553-3862                                                    Broockman, David (University of California, Berkeley) - ORCID: 0000-0002-0993-7073","Kalla, Joshua","Kalla, Joshua; Broockman, David, 2021, ""Replication Data for: Which Narrative Strategies Durably Reduce Prejudice? Evidence From Field and Survey Experiments Supporting the Efficacy of Perspective-Getting"", https://doi.org/10.7910/DVN/MMYAOY, Harvard Dataverse, V1, UNF:6:lchu2vdpLOgyDt3rN/cR1w== [fileUNF]","c(""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"", ""1_study4_analysis_code.do"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(71, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(3438, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"123",123,"Food vs. Fuel? Impacts of the North Dakota oil boom on agricultural prices","This repository contains the data and code for the paper ""Food vs. Fuel? Impacts of the North Dakota oil boom on agricultural prices"" by James Bushnell, Jonathan E. Hughes and Aaron Smith. Please read README.docx for more details on the code. (2021-07-15)","Social Sciences","Grain prices, oil by rail, oil boom, North Dakota.",NA,"Hughes, Jonathan (University of Colorado)                                                    Bushnell. James (University of California, Davis)                                                    Smith, Aaron (University of California, Davis)","Hughes, Jonathan","Hughes, Jonathan; Bushnell. James; Smith, Aaron, 2021, ""Food vs. Fuel? Impacts of the North Dakota oil boom on agricultural prices"", https://doi.org/10.7910/DVN/7OYSO3, Harvard Dataverse, V1, UNF:6:SuzN5hwH8bhb4NqYnWTFcQ== [fileUNF]","c(""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"", ""Analysis_final.do"")","c(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, NA)","c(7, 2, 10, 11, 11, 11, NA, NA, NA, NA, NA)","c(504, 1207, 52, 705, 848, 999, NA, NA, NA, NA, NA)","Harvard Dataverse"
"124",124,"Measured Data set","Measured data inputs and outputs","Physics",NA,NA,"Gupta, Lipi (University of Chicago) - ORCID: 0000-0002-5179-7692","Gupta, Lipi","Gupta, Lipi, 2021, ""Measured Data set"", https://doi.org/10.7910/DVN/MVE1YC, Harvard Dataverse, V1","c(""CorrPlot01062021_inputs.npy"", ""CorrPlot01062021_inputs.npy"", ""CorrPlot01062021_inputs.npy"")","c(0, 0, NA)","c(NA, NA, NA)","c(NA, NA, NA)","Harvard Dataverse"
"125",125,"VCC Laser Data Set","VCC laser input/output data Do not use the first column (col 0) in the inputs file. It is not accurate.","Physics",NA,NA,"Gupta, Lipi (University of Chicago) - ORCID: 0000-0002-5179-7692","Gupta, Lipi","Gupta, Lipi, 2021, ""VCC Laser Data Set"", https://doi.org/10.7910/DVN/YFESLI, Harvard Dataverse, V1","c(""description-image.json"", ""description-image.json"", ""description-image.json"", ""description-image.json"")","c(0, 0, 0, NA)","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","Harvard Dataverse"
"126",126,"SuperGaussian Data set","Super Gaussian laser distribution based data set","Physics",NA,NA,"Gupta, Lipi (University of Chicago)","Gupta, Lipi","Gupta, Lipi, 2021, ""SuperGaussian Data set"", https://doi.org/10.7910/DVN/NSPECK, Harvard Dataverse, V1","c(""description-image.json"", ""description-image.json"", ""description-image.json"", ""description-image.json"")","c(0, 0, 0, NA)","c(NA, NA, NA, NA)","c(NA, NA, NA, NA)","Harvard Dataverse"
"127",127,"Replication Data for: MRO MARCI Mars Daily Global Maps V2","This dataset replicates the standard color maps of the Version 2 MRO MARCI Mars Daily Global Maps (MDGMs) delivered to the NASA Planetary Data System (PDS) Imaging Node, but in JPEG format. Each map was made from 13 consecutive sets of global map swaths taken during a time period of about a sol by the Mars Color Imager (MARCI) onboard the Mars Reconnaissance Orbiter (MRO) spacecraft. This dataset contains the standard resolution (0.1 degree longitude by 0.1 degree latitude, covering 180W-180E, 90S-90N) color MDGMs for MARCI subphases from P01 to J08 (Mars Year 28-33, data collected during 2006-2016). The maps are organized into ""P"" (for P01-P22), ""B"" for (B01-B22), ""G"" (for G01-G23), ""D"" (for D01-D22), ""F"" (for F01-F23) and ""J"" (for J01-J08) folders. The folders are tarred and gzipped. Information for the Mars year and solar longitude (Ls) value of each MDGM can be found from a .txt file within each subphase folder. The list of images used to construct the MDGMs can be found in the list/ subdirectory of each subphase folder. The time range covered by each subphase can be found in the summary_subphases.txt file. The Notes associated with this dataset provides additional information. The MDGMs in TIFF format, maps for 7 individual MARCI camera filters, 0.05 degree by 0.05 degree visible and color maps, and more information can be found in the original archive bundle at NASA's PDS Annex Astropedia website when the data are appended: https://astrogeology.usgs.gov/search/map/Mars/MarsReconnaissanceOrbiter/MARCI/MARS-MRO-MARCI-Mars-Daily-Global-Maps. For users' convenience, the documents (readme.pdf, processing.pdf and errata.pdf) for the PDS4 archive are replicated here. The MDGMs are intended for a quick look of time-variable phenomena on Mars from day to day. The color of MDGMs results from an arbitrary color scheme that is applied across all maps, but users can apply their own color stretch using image manipulating software. (2021-07-12)","Astronomy and Astrophysics","Mars",NA,"WANG, HUIQUN (Helen) (Harvard-Smithsonian Center for Astrophysics) - ORCID: 0000_0001_9722_9992                                                    Battalio, Michael (Harvard-Smithsonian Center for Astrophysics)                                                    Huber, Zachary (University of Notre Dame)","WANG, HUIQUN (Helen)","WANG, HUIQUN (Helen); Battalio, Michael; Huber, Zachary, 2020, ""Replication Data for: MRO MARCI Mars Daily Global Maps V2"", https://doi.org/10.7910/DVN/U3766S, Harvard Dataverse, V2","c(""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"", ""errata.pdf"")","c(1, 1, 1, 1, 1, 1, 1, 1, 2, 1, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"128",128,"Maternal Child Mobile Medical Clinic Data","Data from Maternal Child Mobile Medical Clinic Evaluation","Medicine, Health and Life Sciences",NA,NA,"Rosenberg, Julia","Rosenberg, Julia","Rosenberg, Julia, 2021, ""Maternal Child Mobile Medical Clinic Data"", https://doi.org/10.7910/DVN/YYEOFH, Harvard Dataverse, V1, UNF:6:HmWZ1BYU4BJfE3NWDMXlDg== [fileUNF]","c(""Maternal Child Medical Clinic_Data for Repository.tab"", ""Maternal Child Medical Clinic_Data for Repository.tab"")","c(0, NA)","c(90, NA)","c(69, NA)","Harvard Dataverse"
"129",129,"Maternal Child Mobile Medical Clinic Data","Data from Maternal Child Mobile Medical Clinic Evaluation","Medicine, Health and Life Sciences",NA,NA,"Rosenberg, Julia","Rosenberg, Julia","Rosenberg, Julia, 2021, ""Maternal Child Mobile Medical Clinic Data"", https://doi.org/10.7910/DVN/YYEOFH, Harvard Dataverse, V1, UNF:6:HmWZ1BYU4BJfE3NWDMXlDg== [fileUNF]","c(""Maternal Child Medical Clinic_Data for Repository.tab"", ""Maternal Child Medical Clinic_Data for Repository.tab"")","c(0, NA)","c(90, NA)","c(69, NA)","Harvard Dataverse"
"130",130,"Fluorite - metadata - paradata","Fluorite - metadata - paradata","Earth and Environmental Sciences",NA,NA,"Kellie, Adam (Harvard University)","Kellie, Adam","Kellie, Adam, 2021, ""Fluorite - metadata - paradata"", https://doi.org/10.7910/DVN/QCKSJY, Harvard Dataverse, V1, UNF:6:2PPW67uFwbdjji6BalxzIg== [fileUNF]","c(""Fluorite_metadata_paradata.tab"", ""Fluorite_metadata_paradata.tab"")","c(0, NA)","c(31, NA)","c(1, NA)","Harvard Dataverse"
"131",131,"Fluorite - 3D models - decimated","Fluorite - 3D models - decimated","Earth and Environmental Sciences",NA,NA,"Kellie, Adam (Harvard University)","Kellie, Adam","Kellie, Adam, 2021, ""Fluorite - 3D models - decimated"", https://doi.org/10.7910/DVN/KMMU0U, Harvard Dataverse, V1","c(""Fluorite_deci200k_final (1).jpg"", ""Fluorite_deci200k_final (1).jpg"", ""Fluorite_deci200k_final (1).jpg"", ""Fluorite_deci200k_final (1).jpg"", ""Fluorite_deci200k_final (1).jpg"", ""Fluorite_deci200k_final (1).jpg"", ""Fluorite_deci200k_final (1).jpg"")","c(0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"132",132,"Fluorite - 3D models - full resolution","Fluorite - 3D models - full resolution","Earth and Environmental Sciences",NA,NA,"Kellie, Adam (Harvard University)","Kellie, Adam","Kellie, Adam, 2021, ""Fluorite - 3D models - full resolution"", https://doi.org/10.7910/DVN/GVJ8B8, Harvard Dataverse, V1","c(""Fluorite-1.jpg"", ""Fluorite-1.jpg"", ""Fluorite-1.jpg"", ""Fluorite-1.jpg"", ""Fluorite-1.jpg"", ""Fluorite-1.jpg"", ""Fluorite-1.jpg"")","c(0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"133",133,"Cloud Masks derived from Mars Daily Global Maps for MRO","This archive contains the cloud masks derived from the color Mars Daily Global Maps (MDGMs) composed from the Mars Reconnaissance Orbiter (MRO) Mars Color Imager (MARCI) wide-angle global map swaths. The procedure used is described in Wang and Gonzalez Abad [2021]. The MDGMs used include slight modifications from those at https://doi.org/10.7910/DVN/U3766S and are included in this archive. The product is at 0.1° longitude × 0.1° latitude resolution and is available for each day from Mars Year 28 Ls = 132° to Mars Year 29 Ls = 135° (i.e., MARCI subphases from P01 to P22 and B01). The data are organized according to subphases with each tar file corresponding to one subphase. Each subphase contains about a month of data and includes a list_ls.txt file, a cloudmask/ subdirectory and a mdgms/ subdirectory. The list_ls.txt file lists the name, Mars year and solar longitude (Ls) value for each MDGM. The MDGMs are in JPEG format. The cloud masks are in NetCDF format, and contains variables named “longitude”, “latitude”, and “cloudmask”. In the cloud masks, -999 Indicates invalid value due to missing or excluded data, 0 indicates non-cloudy pixel and positive values indicate cloudy pixels. The values for cloudy pixels are the adjusted Data Numbers of the blue channels of color MDGMs. For details, please refer to Wang, H. and Gonzalez Abad, G.: Cloud masks derived from Mars Daily Global Maps – An application to the tropical cloud belt on Mars. Submitted to Geosciences, July 2021. (2021-07-02)","Astronomy and Astrophysics","Mars, cloud",NA,"WANG, HUIQUN (Helen) (Harvard-Smithsonian Center for Astrophysics) - ORCID: 0000000197229992                                                    Gonzalez Abad, Gonzalo (Harvard-Smithsonian Center for Astrophysics)","WANG, HUIQUN (Helen)","WANG, HUIQUN (Helen); Gonzalez Abad, Gonzalo, 2021, ""Cloud Masks derived from Mars Daily Global Maps for MRO"", https://doi.org/10.7910/DVN/WU6VZ8, Harvard Dataverse, V1","c(""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"", ""B01.tar"")","c(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"134",134,"Photogrammetry captures","DNG photogrammetry captures","Earth and Environmental Sciences",NA,NA,"Kellie, Adam (Harvard University)","Kellie, Adam","Kellie, Adam, 2021, ""Photogrammetry captures"", https://doi.org/10.7910/DVN/9O7JHM, Harvard Dataverse, V1","c(""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"", ""602518_171.dng"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"135",135,"Replication Data for: Trends and intensity of human rhinovirus invasions in local populations, a longitudinal analysis from Kilifi, Kenya, 2007-2018","This is a replication dataset for the manuscript titled: ""Trends and intensity of human rhinovirus invasions in local populations, a longitudinal analysis from Kilifi, Kenya, 2007-2018."" This study is part of a longitudinal surveillance study established to understand the epidemiology and disease burden of HRV associated pneumonia admissions to Kilifi County Hospital (KCH).It contains month and year of sample collection, Eligibles (Under fives with severe or very severe pneumonia),sample tested, sample positives for respiratory viruses, and HRV types detected.","Medicine, Health and Life Sciences",NA,NA,"Morobe, John M. (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Kamau, Everlyn (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya; Nuffield Department of Medicine, University of Oxford, Oxford, UK)                                                    Murunga, Nickson (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Gatua, Winfred (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Lewa, Clement (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Cheruiyot, Robinson (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Mutunga, Martin (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Odundo, Calleb (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya)                                                    Agoti, Charles N. (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya; Department of Public Health, Pwani University, Kilifi, Kenya)                                                    Nokes, David James (KEMRI-Wellcome Trust Research Programme, Kilifi, Kenya; School of Life Sciences and Zeeman Institute for Systems Biology and Infectious Disease Epidemiology Research (SBIDER), University of Warwick, Coventry, United Kingdom)","Morobe, John M.","Morobe, John M.; Kamau, Everlyn; Murunga, Nickson; Gatua, Winfred; Lewa, Clement; Cheruiyot, Robinson; Mutunga, Martin; Odundo, Calleb; Agoti, Charles N.; Nokes, David James, 2021, ""Replication Data for: Trends and intensity of human rhinovirus invasions in local populations, a longitudinal analysis from Kilifi, Kenya, 2007-2018"", https://doi.org/10.7910/DVN/OL399P, Harvard Dataverse, V2, UNF:6:25VkNi7AihwToeZ6rwVt0g== [fileUNF]","c(""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"", ""DATA_HRVA.tab"")","c(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NA)","c(5, 5, 5, 6, 3, NA, NA, NA, NA, NA, NA)","c(108, 39, 90, 144, 36, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"136",136,"Geodatabase of potential health care facilities for COVID-19 vaccination","This geodataset provides information about potential health care facilities and centers for COVID-19 vaccination in the city of Mashhad, Iran. (2021-07-16)","Medicine, Health and Life Sciences","COVID-19, Mashhad, Iran, Health facilities, Vaccination",NA,"Kiani, Behzad (Department of Medical Informatics, School of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran) - ORCID: https://orcid.org/0000-0002-8816-328X‎","Kiani, Behzad","Kiani, Behzad, 2021, ""Geodatabase of potential health care facilities for COVID-19 vaccination"", https://doi.org/10.7910/DVN/PNQUKX, Harvard Dataverse, V1","c(""Census_Tracts_By_Weighted_Population.zip"", ""Census_Tracts_By_Weighted_Population.zip"", ""Census_Tracts_By_Weighted_Population.zip"", ""Census_Tracts_By_Weighted_Population.zip"", ""Census_Tracts_By_Weighted_Population.zip"", ""Census_Tracts_By_Weighted_Population.zip"", ""Census_Tracts_By_Weighted_Population.zip"")","c(1, 0, 0, 0, 0, 0, NA)","c(NA, NA, NA, NA, NA, NA, NA)","c(NA, NA, NA, NA, NA, NA, NA)","Harvard Dataverse"
"137",137,"Replication Data for: The role of age in the spreading of COVID-19 across a social network in Bucharest","Human-to-human COVID-19 transmission data that allow for the replication of the analysis performed and reported in the manuscript titled: ""The role of age in the spreading of COVID-19 across a social network in Bucharest""","Mathematical Sciences; Physics; Social Sciences","Covid-19, age-group transmission, network analysis, relational hyperevent models, Romania",NA,"HANCEAN, MARIAN-GABRIEL (University of Bucharest) - ORCID: 0000-0001-9358-5287                                                    LERNER, JUERGEN (University of Konstanz) - ORCID: 0000-0001-6565-1873                                                    PERC, MATJAZ (University of Maribor) - ORCID: 0000-0002-3087-541X                                                    GHITA, MARIA-CRISTINA (University of Bucharest) - ORCID: 0000-0002-7255-8105                                                    BUNACIU, DAVID-ANDREI (University of Bucharest) - ORCID: 0000-0002-2086-9526                                                    STOICA, ADELINA ALEXANDRA (University of Bucharest) - ORCID: 0000-0001-8074-9545                                                    MIHAILA, BIANCA ELENA (University of Bucharest) - ORCID: 0000-0003-4930-450X","HANCEAN, MARIAN-GABRIEL","HANCEAN, MARIAN-GABRIEL; LERNER, JUERGEN; PERC, MATJAZ; GHITA, MARIA-CRISTINA; BUNACIU, DAVID-ANDREI; STOICA, ADELINA ALEXANDRA; MIHAILA, BIANCA ELENA, 2021, ""Replication Data for: The role of age in the spreading of COVID-19 across a social network in Bucharest"", https://doi.org/10.7910/DVN/CSNRR5, Harvard Dataverse, V1, UNF:6:F8xrjFAvULjZDLW3yN521w== [fileUNF]","c(""dataset_harvard_dataverse.tab"", ""dataset_harvard_dataverse.tab"")","c(2, NA)","c(9, NA)","c(13377, NA)","Harvard Dataverse"
"138",138,"2021 catla families produced","File containing a list of the catla families made in 2021 as part of the WorldFish Carp Genetic Improvement Program","Medicine, Health and Life Sciences","genetic improvement, selective breeding program, catla catla, mating list",NA,"Hamilton, Matthew G. (WorldFish) - ORCID: 0000-0001-8098-8845",NA,"Hamilton, Matthew G., 2021, ""2021 catla families produced"", https://doi.org/10.7910/DVN/B0VJ61, Harvard Dataverse, V1, UNF:6:SzDZm8zwRrjfxlgqPXkw1A== [fileUNF]","c(""Catla_families_2021.tab"", ""Catla_families_2021.tab"")","c(0, NA)","c(4, NA)","c(122, NA)","Harvard Dataverse"
"139",139,"Chief William Commanda Bridge and Pump House ruins","This is a dataset of information compiled for Courses CIVE3207 (ARCN4100), CIVE4601 (ARCN4200), CIVE 5603 Course on Advanced Building Characterization, Conservation and Rehabilitation, or any other for students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University. Students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University will use these data to produce a Heritage Recording Dossier of this important Site. This material can not be used for commercial purposes or use in any form without the permission of Dr. Mario Santana, the authors and site custodians. (2021-06-09)","Arts and Humanities; Engineering; Social Sciences; Other","Historic bridge, Abandoned places Ottawa",NA,"Santana Quintero, Mario (Carleton University) - ORCID: 0000-0002-3836-9714                                                    Phillips, Hannah (Carleton University)                                                    Jung, Hyewon (Carleton University)                                                    Wan, Jenny (Carleton University)                                                    Chouinard, Valerie (Carleton University)                                                    Kang, Abi (Carleton University)","Santana Quintero, Mario","Santana Quintero, Mario; Phillips, Hannah; Jung, Hyewon; Wan, Jenny; Chouinard, Valerie; Kang, Abi, 2021, ""Chief William Commanda Bridge and Pump House ruins"", https://doi.org/10.5683/SP2/ALMFYS, Scholars Portal Dataverse, V5",NA,NA,NA,NA,"Harvard Dataverse"
"140",140,"Kelly House","This is a dataset of information compiled for Courses CIVE3207 (ARCN4100), CIVE4601 (ARCN4200), CIVE 5603 Course on Advanced Building Characterization, Conservation and Rehabilitation, or any other for students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University. Students of the Architectural Conservation and Sustainability Program (Engineers and architects) at Carleton University will use these data to produce a Heritage Recording Dossier of this important Site. This material can not be used for commercial purposes or use in any form without the permission of Dr. Mario Santana, the authors and site custodians. (2021-07-06)","Arts and Humanities; Engineering; Social Sciences","Historic House, Farm House",NA,"Santana Quintero, Mario (Carleton University) - ORCID: 0000-0002-3836-9714                                                    Phillips, Hannah (Carleton University) - ORCID: 0000-0003-1791-9374                                                    Bucking, Scott (Carleton University)","Santana Quintero, Mario","Santana Quintero, Mario; Phillips, Hannah; Bucking, Scott, 2021, ""Kelly House"", https://doi.org/10.5683/SP2/5S9DUS, Scholars Portal Dataverse, V4",NA,NA,NA,NA,"Harvard Dataverse"
"141",141,"Data Quality Flags for ACE-FTS Level 2 Version 4.1/4.2 Data Set","Data quality flags generated for the Atmospheric Chemistry Experiment Fourier Transform Spectrometer (ACE-FTS) Level 2 (L2) version 4.1/4.2 data products. These data quality flags are generated using the technique described in Sheese et al. (2015).                                                                                                                                One netCDF file is produced for each species, isotopologue or parameter retrieved from the ACE-FTS spectra for version 4.1/4.2. Each file contains the data quality flags organized by occultation (orbit number and occultation type). Note, the ACE-FTS Level 2 version 4.1/4.2 profiles are not included in these files.                                                                                                                                The data quality flag files are updated monthly as new Level 2 version 4.1/4.2 data are produced for ACE-FTS.","Earth and Environmental Sciences; Physics","Data Quality Assessment, Satellite, Remote Sensing, Atmospheric Chemistry Experiment, ACE-FTS, Fourier Transform Spectroscopy",NA,"Sheese, Patrick (University of Toronto)                                                    Walker, Kaley (University of Toronto) - ORCID: 0000-0003-3420-9454","Walker, Kaley","Sheese, Patrick; Walker, Kaley, 2020, ""Data Quality Flags for ACE-FTS Level 2 Version 4.1/4.2 Data Set"", https://doi.org/10.5683/SP2/BC4ATC, Scholars Portal Dataverse, V9",NA,NA,NA,NA,"Harvard Dataverse"
"142",142,"Supplemental Data for “Performance of Clinical Prediction Models in Identifying Unilateral Primary Aldosteronism: An External Validation Study”","Supplemental Table 1. Summary of the included clinical prediction models and the guideline-based prediction rule. Supplemental Figure 1. Frequency of predictor variables used in the included clinical prediction models and the guideline-based prediction rule. Supplemental Figure 2. Calibration plot of the adjusted Küpers model. Supplemental Figure 3. Sensitivity analysis with receiver operating characteristic curves of the clinical prediction models. Supplemental Figure 4. Sensitivity analysis with calibration plots of the clinical prediction models.","Medicine, Health and Life Sciences","primary aldosteronism",NA,"Leung, Alexander (University of Calgary) - ORCID: 0000-0002-7536-8497","Leung, Alexander","Leung, Alexander, 2021, ""Supplemental Data for “Performance of Clinical Prediction Models in Identifying Unilateral Primary Aldosteronism: An External Validation Study”"", https://doi.org/10.5683/SP2/J0LFH0, Scholars Portal Dataverse, V1",NA,NA,NA,NA,"Harvard Dataverse"
"143",143,"Replication Code for Gillooly et al. (2021) PLOS ONE","This is the Stata replication code for the following forthcoming article article: Gillooly, Shauna, Heidi Hardt, and Amy Erica Smith. Forthcoming. “Having female role models correlates with PhD students’ attitudes toward their own academic success”. PLOS ONE. (2021-07-15)","Social Sciences","graduate training; political science; methods training; self-efficacy",NA,"Smith, Amy (Iowa State University)","Smith, Amy","Smith, Amy, 2021, ""Replication Code for Gillooly et al. (2021) PLOS ONE"", https://doi.org/10.7910/DVN/QDKWOX, Harvard Dataverse, V1","c(""GilloolyEtAl_plosone_replication.do"", ""GilloolyEtAl_plosone_replication.do"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
"144",144,"Graduate Student Experiences in Political Science","This is the publicly available dataset for the project ""Graduate Student Experiences in Political Science,"" conducted in December 2019 by Shauna N. Gillooly, Heidi Hardt, and Amy Erica Smith. For confidentiality reasons, textual (open-ended) responses have been removed from the dataset. (2021-07-15)","Social Sciences","graduate training; gender; race/ethnicity; self-efficacy",NA,"Smith, Amy (Iowa State University) - ORCID: 000000026436153X                                                    Heidi Hardt (University of California Irvine)                                                    Shauna N. Gillooly (University of California Irvine)","Smith, Amy","Smith, Amy; Heidi Hardt; Shauna N. Gillooly, 2021, ""Graduate Student Experiences in Political Science"", https://doi.org/10.7910/DVN/7YKEYB, Harvard Dataverse, V1, UNF:6:neK4D47NQLkd8ZDCkSoJpQ== [fileUNF]","c(""Grad_Experiences_Codebook.pdf"", ""Grad_Experiences_Codebook.pdf"", ""Grad_Experiences_Codebook.pdf"", ""Grad_Experiences_Codebook.pdf"")","c(2, 0, 0, NA)","c(62, NA, NA, NA)","c(294, NA, NA, NA)","Harvard Dataverse"
"145",145,"A Simplified Overview of the Current Non-Surgical Treatment of Brain Tumor Patients with Special Emphasis on Its Complications. A Much Needed Contemporary Review Especially for Neurosurgeons","Abstract Brain tumors are complex entities with facts as numerous as stars in our sky, uncountable. They exist and thus every treating physician and surgeon happens to come across it. We try to put major contemporary practices and facts in a single bucket from learned skills of neurology and oncology tradition and things we received as feedback from our patients in clinical settings. Purpose of this work is to refresh your knowledge and preparedness for seeing patients with brain cancer. Brain tumors are molecularly heterogeneous and their features depend upon size, site, and genetic make-up of tumor, aggressive growth, and adjacent structures. Complications and their management are very challenging. This article will comfortably sail you through various aspects of management of brain cancers. (2021-07-12)","Chemistry; Medicine, Health and Life Sciences; Other","Brain tumor, Glioblastoma, Non surgical therapy, Complications, Chemotherapy",NA,"Akhtar, Samim (Cancer Hospital) - ORCID: 0000-0002-1559-8119","Akhtar, Samim","Akhtar, Samim, 2021, ""A Simplified Overview of the Current Non-Surgical Treatment of Brain Tumor Patients with Special Emphasis on Its Complications. A Much Needed Contemporary Review Especially for Neurosurgeons"", https://doi.org/10.7910/DVN/174VVK, Harvard Dataverse, V1","c(""SOJNN.MS.ID.000507.pdf"", ""SOJNN.MS.ID.000507.pdf"")","c(0, NA)","c(NA, NA)","c(NA, NA)","Harvard Dataverse"
