"","Tags","Public Access Level","Rights","Program Contact Name","Program Contact Email","Frequency","Last Updated","Created","Followers","Organization","Social"
"12","California, Departme..., documentation, dpr, parks","Public","No restrictions on public use","Data Governance","[email protected]","Irregular","June 25, 2021, 16:00 (UTC)","April 30, 2021, 16:54 (UTC)","0","California Department of Parks and Recreation","Twitter, Facebook, Linkedin"
"13","""Commodity"", ""Title"", ""DVBE"", ""Department"", ""Desktop"", ""Computers"", ""Gasoline"", ""IT"", ""Goods"", ""IT"", ""Services"", ""Ink"", ""Cartridges"", ""Item"", ""Description"", ""Item"", ""Name"", ""Medical"", ""Training"", ""Se..."", ""Non-IT"", ""Goods"", ""Non-IT"", ""Services"", ""Notebook"", ""Computers"", ""Paper"", ""Photocopiers"", ""Public"", ""Health"", ""Admin..."", ""SB"", ""Statewide"", ""Contracts"", ""Supplier"", ""Name"", ""Toner"", ""UNSPSC"")","Public","No Restrictions on Public Use","admin","[email protected]","Irregular","October 23, 2019, 17:49 (UTC)","August 10, 2019, 10:28 (UTC)","2","California Department of General Services","Twitter, Facebook, Linkedin"
"14","""california"", ""departme..."", ""groundwater"", ""surface"", ""water"", ""water"", ""data"", ""library"", ""water"", ""quality"", ""wdl""","Public","No restrictions on public use","Water Data Library","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","January 16, 2019, 22:56 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"15","california, state, co...)","Public","No restrictions on public use","Matthew","[email protected]","Irregular","January 8, 2020, 03:02 (UTC)","August 22, 2019, 16:36 (UTC)","0","California State Controller's Office","Twitter, Facebook, Linkedin"
"16","""california"", ""departme..."", ""covid"", ""covid-19"", ""covid19"", ""industry"", ""occupation"", ""outbreak""","Public","No restrictions on public use","COVID-19 Response Data, Informatics, Surveillance, Clinical and Outbreaks (DISCO) Team","[email protected]","Biweekly","June 27, 2021, 17:00 (UTC)","March 23, 2021, 17:01 (UTC)","0","California Department of Public Health","Twitter, Facebook, Linkedin"
"17","""Commute"", ""Coronavirus"", ""Covid"", ""Covid-19"", ""Covid19"", ""DGS"", ""Telework""","Public","No restrictions on public use","Enterprise Technology Solutions","[email protected]","Quarterly","January 6, 2021, 02:02 (UTC)","August 27, 2020, 00:24 (UTC)","0","California Department of General Services","Twitter, Facebook, Linkedin"
"18","cal, fire, campbell, creek, campbellcreek, thp, thps","Public","No restrictions on public use","frohr.CALFIRE","[email protected]","Irregular","June 28, 2021, 00:00 (UTC)","June 25, 2021, 00:23 (UTC)","0","CAL FIRE","Twitter, Facebook, Linkedin"
"19","""california"", ""health"", ""a..."", ""data"", ""dictionary"", ""how"", ""to"", ""instructions"", ""inventory"", ""metadata"", ""open"", ""data"", ""publishing"", ""plan"", ""schedule"")","Public","No restrictions on public use","CHHS Open Data","[email protected]","Irregular","June 28, 2021, 00:00 (UTC)","December 13, 2018, 21:52 (UTC)","0","California Health and Human Services Agency","Twitter, Facebook, Linkedin"
"20","""california-franchis..."", ""credits"", ""deductions"", ""elections"", ""exclusions"", ""tax"", ""expenditures""","Public","No restrictions on public use","FTB Open Data","[email protected]","Irregular","June 23, 2021, 02:00 (UTC)","August 14, 2019, 14:58 (UTC)","0","California Franchise Tax Board","Twitter, Facebook, Linkedin"
"21","average, duration, benefit, amount, benefits, paid, california, employme..., di, disability, fund, balance, initial, claims, insurance, weeks, compensated)","Public","No restrictions on public use","EDD Administrator","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","0","California Employment Development Department","Twitter, Facebook, Linkedin"
"22","""california"", ""energy"", ""c..."", ""energy"", ""petroleum"", ""transportation""","Public","No restrictions on public use","Media and Public Communications Office","[email protected]","Irregular","June 28, 2021, 02:00 (UTC)","January 16, 2019, 22:50 (UTC)","0","California Energy Commission","Twitter, Facebook, Linkedin"
"23","""california"", ""office"", ""o..."", ""gender"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""discharge"", ""data"", ""sex""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"24","average, length, of, stay, california, office, o..., inpatient, discharges, office, of, statewide..., oshpd, patient, discharge, data","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"25","""agriculture"", ""water"", ""use"", ""applied"", ""water"", ""use"", ""california"", ""california"", ""departme..."", ""california"", ""water"", ""plan"", ""counties"", ""depletion"", ""detailed"", ""analysis"", ""u..."", ""environmental"", ""water"", ""groundwater"", ""hydrologic"", ""regions"", ""instream"", ""flow"", ""requi..."", ""managed"", ""wetlands"", ""planning"", ""areas"", ""standard"", ""operating"", ""..."", ""state"", ""of"", ""california"", ""surface"", ""water"", ""urban"", ""water"", ""use"", ""water"", ""water"", ""balance"", ""water"", ""portfolio"", ""water"", ""reuse"", 
""water"", ""supply"", ""water"", ""use"", ""wild"", ""and"", ""scenic"", ""rivers"")","Public","No restrictions on public use","Jennifer Stricklin","[email protected]","Annual","June 23, 2021, 04:00 (UTC)","April 24, 2019, 04:02 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"26","covid-19","Public","No restrictions on public use","CDPH Coronavirus Science Branch","[email protected]","Daily","March 12, 2021, 21:49 (UTC)","June 25, 2020, 17:45 (UTC)","22","California Department of Public Health","Twitter, Facebook, Linkedin"
"27","calfresh, calheers, california, departme..., calworks, covered, california)","Public","No restrictions on public use","California Department of Social Services","[email protected]","Monthly","June 28, 2021, 06:00 (UTC)","August 14, 2019, 15:12 (UTC)","0","California Department of Social Services","Twitter, Facebook, Linkedin"
"28","""COVID-19"", ""Coronavirus"", ""Covid"", ""Covid-19"", ""Covid19"", ""DWC""","Public","No restrictions on public use","Division of Workers Compensation","[email protected]","Monthly","June 10, 2021, 15:20 (UTC)","September 9, 2020, 17:55 (UTC)","1","California Department of Industrial Relations","Twitter, Facebook, Linkedin"
"29","""boundary"", ""california"", ""departme..."", ""modeling"", ""schism""","Public","No restrictions on public use","Eli Ateljevich","[email protected]","Irregular","June 23, 2021, 04:01 (UTC)","January 16, 2019, 22:54 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"30","bay, delta, california, departme..., delta, modeling, dsm2","Public","No restrictions on public use","Min Yu","[email protected]","Irregular","June 23, 2021, 04:01 (UTC)","November 12, 2019, 10:28 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"31","""age"", ""demographics"", ""alirts"", ""california"", ""office"", ""o..."", ""discharges"", ""by"", ""payer"", ""labor"", ""operating"", ""rooms"")","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Irregular","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"32","""age"", ""demographics"", ""alirts"", ""california"", ""office"", ""o..."", ""electronic"", ""laborato..."", ""operating"", ""rooms"", ""payer""","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"33","age, demographics, alirts, california, office, o..., clinic, language, payer, pcc, primary, care, revenue, services, staffing, utilization)","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"34","""age"", ""demographics"", ""alirts"", ""california"", ""office"", ""o..."", ""clinic"", ""language"", ""payer"", ""pcc"", ""primary"", ""care"", ""revenue"", ""services"", ""staffing"", ""utilization""","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"35","""adjusted"", ""length"", ""of"", ""..."", ""admit"", ""source"", ""beds"", ""california"", ""office"", ""o..."", ""discharge"", ""disposition"", ""ltc"", ""major"", ""capital"", ""expen..."", ""payer"", ""source"", ""utilization""","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Irregular","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:38 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"36","california, departme..., insar, subsidence, vertical, displacement","Public","No restrictions on public use","Ben Brezing","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","May 8, 2019, 04:02 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"37","""california"", ""departme..."", ""chcq"", ""coronavirus"", ""covid"", ""covid-19"", ""covid19"", ""skilled"", ""nursing"", ""fac..."", ""snf"")","Public","No restrictions on public use","California Department of Public Health, Center for Healthcare Quality","[email protected]","Daily","June 27, 2021, 17:00 (UTC)","September 23, 2020, 06:00 (UTC)","1","California Department of Public Health","Twitter, Facebook, Linkedin"
"38","""california"", ""state"", ""tr...""","Public","No restrictions on public use","Daniel Kirk","[email protected]","Irregular","January 9, 2020, 05:02 (UTC)","August 22, 2019, 17:50 (UTC)","0","California State Treasurer","Twitter, Facebook, Linkedin"
"39","average, duration, awba, benefit, amount, benefits, paid, bonding, claims, california, employme..., care, claims, di, first, claims, paid, family, leave, pfl, weekly, benefit, weeks, compensated)","Public","No restrictions on public use","EDD Administrator","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","0","California Employment Development Department","Twitter, Facebook, Linkedin"
"40","""california"", ""employme..."", ""ui"", ""benefits"", ""unemployment"", ""insura..."", ""weekly"", ""ui"", ""claims""","Public","No restrictions on public use","UIPCDUSA","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","0","California Employment Development Department","Twitter, Facebook, Linkedin"
"41","""average"", ""length"", ""of"", ""stay"", ""california"", ""office"", ""o..."", ""inpatient"", ""discharges"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""discharge"", ""data""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"42","aca, affordable, care, act..., calfresh, california, departme..., calworks, child, protective, se..., child, welfare, dds, developmental, services, family, pact, family, planning, acc..., foster, care, ihss, in-home, supportive, ..., medi-cal, medicaid, snap, tanf, wic, women, infants, and, c...","Public","No restrictions on public use","CHHS","[email protected]","Annual","June 27, 2021, 16:00 (UTC)","October 1, 2020, 07:00 (UTC)","0","California Department of Health Care Services","Twitter, Facebook, Linkedin"
"43","""california"", ""departme..."", ""dry"", ""wells"", ""water"", ""supply"", ""shortage"")","Public","No restrictions on public use","Ben Brezing","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","May 12, 2021, 04:00 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"44","""california"", ""departme..."", ""covid-19"", ""dwr""","Public","No restrictions on public use","Taylor Myers","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","September 16, 2020, 09:13 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"45","california, departme..., dsm2, meteorology, temperature)","Public","No restrictions on public use","Min Yu","[email protected]","Irregular","June 23, 2021, 04:01 (UTC)","January 16, 2019, 22:56 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"46","""annual"", ""report"", ""california"", ""departme..."", ""groundwater"", ""sustain..."", ""gsp"", ""gspar""","Public","No restrictions on public use","Ben Gooding","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","August 26, 2020, 09:15 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"47","""california"", ""office"", ""o..."", ""inpatient"", ""discharges"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""discharge"", ""data""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"48","california, office, o..., office, of, statewide..., oshpd, patient, discharge, data, type, of, care","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Irregular","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"49","""california"", ""office"", ""o..."", ""hospital"", ""inpatient"", ""discharges"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""discharge"", ""data"", ""race"", ""group"", ""frequency"")","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"50","""average"", ""length"", ""of"", ""stay"", ""california"", ""office"", ""o..."", ""inpatient"", ""discharges"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""discharge"", ""data""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"51","california, office, o..., expected, payer, office, of, statewide..., oshpd, patient, discharge, data)","Public","No restrictions on public use","Office of Statewide Health Planning and Development. Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"52","""california"", ""office"", ""o..."", ""inpatient"", ""discharges"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""age"", ""group"", ""patient"", ""discharge"", ""data""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"53","""admission"", ""type"", ""california"", ""office"", ""o..."", ""inpatient"", ""discharges"", ""office"", ""of"", ""statewide..."", ""oshpd"", ""patient"", ""discharge"", ""data""","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"54","admission, source, california, office, o..., inpatient, discharges, office, of, statewide..., oshpd, patient, discharge, data","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"55","""california"", ""departme..."", ""covid"", ""covid-19"", ""covid19"", ""vaccines"")","Public","No restrictions on public use","California COVID-19 Vaccination Program","[email protected]","Daily","June 27, 2021, 17:00 (UTC)","March 9, 2021, 11:00 (UTC)","0","California Department of Public Health","Twitter, Facebook, Linkedin"
"56","""california"", ""departme..."", ""elevation-change"", ""insar"", ""interferometric"", ""syn..."", ""subsidence"", ""vertical"", ""displacement""","Public","No restrictions on public use","Ben Brezing","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","January 16, 2019, 22:56 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"57","afterbay, california, departme..., elevation, forebay, lake, operations, reservoir, state, water, project, storage, swp)","Public","No restrictions on public use","Mary Valdez","[email protected]","Monthly","June 23, 2021, 04:00 (UTC)","August 30, 2019, 21:38 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"58","""ace"", ""authcdfw"", ""biota"", ""california"", ""departme..."", ""california"", ""natural"", ""..."", ""caopendata"", ""cdfw"", ""ds067420180123wm"", ""environment"", ""hexagon"", ""grid""","Public","No restrictions on public use","BIOS_Admin","[email protected]","Irregular","June 23, 2021, 06:04 (UTC)","February 24, 2021, 09:11 (UTC)","0","California Department of Fish and Wildlife","Twitter, Facebook, Linkedin"
"59","""2010"", ""california"", ""departme..."", ""urban"", ""water"", ""managem..."", ""uwmp""","Public","No restrictions on public use","Betsy Vail","[email protected]","Irregular","June 23, 2021, 04:01 (UTC)","February 14, 2020, 19:51 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"60","cal, fire, forest, practice, forestry, fpgis","Public","No restrictions on public use","fpgis.CALFIRE","[email protected]","Irregular","June 28, 2021, 00:00 (UTC)","June 25, 2021, 00:22 (UTC)","0","CAL FIRE","Twitter, Facebook, Linkedin"
"61","""california"", ""energy"", ""c..."", ""energy"", ""gas"", ""gasoline"", ""transportation"")","Public","No restrictions on public use","Media and Public Communications Office","[email protected]","Irregular","June 28, 2021, 02:00 (UTC)","January 16, 2019, 22:49 (UTC)","0","California Energy Commission","Twitter, Facebook, Linkedin"
"62","""california"", ""office"", ""o..."", ""discharges"", ""by"", ""payer..."", ""expenses"", ""hospital"", ""ogi"", ""quarterly"", ""financial..."", ""revenues"", ""utilization""","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Quarterly","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:38 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"63","adjusted, length, of, ..., admit, source, beds, california, office, o..., discharge, discharge, disposition, ltc, major, captial, expen..., payer, source, utilization)","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:40 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"64","""california"", ""departme..."", ""cimis"", ""web"", ""api"", ""reference"", ""evapotran..."", ""weather"", ""data""","Public","No restrictions on public use","DWR CIMIS Public Contact","[email protected]","Daily","June 23, 2021, 04:01 (UTC)","January 16, 2019, 22:54 (UTC)","1","California Department of Water Resources","Twitter, Facebook, Linkedin"
"65","""age"", ""demographics"", ""at"", ""home"", ""care"", ""california"", ""office"", ""o..."", ""end"", ""of"", ""life"", ""expenditures"", ""grief"", ""home"", ""health"", ""hospice"", ""pallative"", ""care"", ""post-surgical"", ""revenues"", ""skilled"", ""nursing"", ""support"", ""terminal"", ""theraputic"", ""care""","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:38 (UTC)","1","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"66","blueprint, california, departme..., coronavirus, county, covid, covid-19, covid19, economy, safe, safer","Public","No restrictions on public use","California Department of Public Health","[email protected]","Weekly","June 27, 2021, 17:00 (UTC)","November 11, 2020, 06:00 (UTC)","2","California Department of Public Health","Twitter, Facebook, Linkedin"
"67","""average"", ""weekly"", ""bene..."", ""california"", ""employme..."", ""continued"", ""claims"", ""initial"", ""claims"", ""unemployment"", ""insura..."")","Public","No restrictions on public use","UIPCDUSA","[email protected]","Irregular","June 24, 2021, 01:00 (UTC)","August 14, 2019, 14:53 (UTC)","0","California Employment Development Department","Twitter, Facebook, Linkedin"
"68","""california"", ""departme..."", ""groundwater"", ""sustain..."", ""gsp"", ""monitoring"", ""network""","Public","No restrictions on public use","Ben Gooding","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","September 2, 2020, 09:14 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"69","audit, california, departme..., conservation, water, loss, water, use)","Public","No restrictions on public use","Todd Thompson","[email protected]","Irregular","June 23, 2021, 04:01 (UTC)","May 15, 2019, 04:02 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"70","""Bond"", ""Construction"", ""Funding"", ""OPSC"", ""SAB"", ""SFP"", ""School"", ""School"", ""Facility"", ""Pro..."", ""State"", ""Allocation"", ""Board""","Public","No restrictions on public use","Office of Public School Construction","[email protected]","Monthly","June 1, 2021, 15:39 (UTC)","November 20, 2019, 18:57 (UTC)","4","California Department of General Services","Twitter, Facebook, Linkedin"
"71","""Civil"", ""Rights"", ""GARE"", ""No"", ""keyword"", ""provided"", ""Racial"", ""Equity"", ""disability"", ""gender"", ""race"", ""veteran"", ""workforce""","Public","No Restrictions on Public Use","Greg Gearheart","[email protected]","Irregular","April 22, 2021, 20:27 (UTC)","August 10, 2019, 03:11 (UTC)","0","California State Water Resources Control Board","Twitter, Facebook, Linkedin"
"72","annual, balance, sheet, california, office, o..., expenses, hospital, income, statement, labor, ogi, payer, revenues","Public","No restrictions on public use","Accounting and Reporting Systems Section","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:38 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"73","""ab"", ""1755"", ""california"", ""departme..."", ""dwr"", ""ecological"", ""open"", ""data"", ""water"", ""water"", ""managment"")","Public","No restrictions on public use","[email protected]_DWR","[email protected]","Irregular","June 23, 2021, 04:00 (UTC)","November 18, 2020, 09:00 (UTC)","0","California Department of Water Resources","Twitter, Facebook, Linkedin"
"74","""california"", ""departme..."", ""dhcs"", ""hospitals"", ""qip"", ""quality"", ""health"", ""care""","Public","No restrictions on public use","Office of the Medical Director/Director’s Office","[email protected]","Annual","June 27, 2021, 16:00 (UTC)","March 6, 2021, 01:07 (UTC)","0","California Department of Health Care Services","Twitter, Facebook, Linkedin"
"75","average, length, of, stay, california, office, o..., inpatient, discharges, office, of, statewide..., oshpd, patient, discharge, data)","Public","No restrictions on public use","Office of Statewide Health Planning and Development, Healthcare Analytics Branch","[email protected]","Annual","June 28, 2021, 07:00 (UTC)","December 13, 2018, 22:39 (UTC)","0","California Office of Statewide Health Planning & Development","Twitter, Facebook, Linkedin"
"76","""california"", ""state"", ""co..."", ""raw"", ""data"", ""special"", ""districts""","Public","No restrictions on public use","Raymond Tse","[email protected]","Irregular","June 27, 2021, 03:00 (UTC)","August 22, 2019, 16:36 (UTC)","0","California State Controller's Office","Twitter, Facebook, Linkedin"
"77","""california"", ""state"", ""co..."", ""city"", ""raw"", ""data""","Public","No restrictions on public use","Raymond Tse","[email protected]","Irregular","June 27, 2021, 03:00 (UTC)","August 22, 2019, 16:36 (UTC)","0","California State Controller's Office","Twitter, Facebook, Linkedin"
